Learning Rate,L2 Penalty,Optimizer,Momentum,Mini_batch,Model,Accuracy
1.311133937421563e-06,0.28823529411764703,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
1.311133937421563e-06,0.33529411764705885,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
1.311133937421563e-06,0.38235294117647056,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
1.311133937421563e-06,0.4294117647058824,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
1.311133937421563e-06,0.4764705882352941,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
1.311133937421563e-06,0.5235294117647059,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
1.311133937421563e-06,0.5705882352941176,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
1.311133937421563e-06,0.6176470588235293,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9429824561403509
1.311133937421563e-06,0.6647058823529411,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
1.311133937421563e-06,0.711764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9385964912280702
1.311133937421563e-06,0.7588235294117647,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
1.311133937421563e-06,0.8058823529411764,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9342105263157895
1.311133937421563e-06,0.8529411764705882,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
1.311133937421563e-06,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
9.345192145605374e-07,0.1,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
9.345192145605374e-07,0.14705882352941177,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9429824561403509
9.345192145605374e-07,0.19411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9429824561403509
9.345192145605374e-07,0.2411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
9.345192145605374e-07,0.28823529411764703,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
9.345192145605374e-07,0.33529411764705885,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
9.345192145605374e-07,0.38235294117647056,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
9.345192145605374e-07,0.4294117647058824,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
9.345192145605374e-07,0.4764705882352941,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
9.345192145605374e-07,0.5235294117647059,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9385964912280702
9.345192145605374e-07,0.5705882352941176,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
9.345192145605374e-07,0.6176470588235293,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
9.345192145605374e-07,0.6647058823529411,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9429824561403509
9.345192145605374e-07,0.711764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
9.345192145605374e-07,0.7588235294117647,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
9.345192145605374e-07,0.8058823529411764,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
9.345192145605374e-07,0.8529411764705882,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
9.345192145605374e-07,0.9,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
6.660846290809154e-07,0.1,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
6.660846290809154e-07,0.14705882352941177,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
6.660846290809154e-07,0.19411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
6.660846290809154e-07,0.2411764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
6.660846290809154e-07,0.28823529411764703,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
6.660846290809154e-07,0.33529411764705885,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
6.660846290809154e-07,0.38235294117647056,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
6.660846290809154e-07,0.4294117647058824,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
6.660846290809154e-07,0.4764705882352941,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.956140350877193
6.660846290809154e-07,0.5235294117647059,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
6.660846290809154e-07,0.5705882352941176,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
6.660846290809154e-07,0.6176470588235293,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
6.660846290809154e-07,0.6647058823529411,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
6.660846290809154e-07,0.711764705882353,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9473684210526315
6.660846290809154e-07,0.7588235294117647,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9517543859649122
6.660846290809154e-07,0.8058823529411764,SGD,Momentum: False,Mini-Batch: True,Logistic_regression,0.9605263157894737
